Wall time,Step,Value
1586946414.243391,535,107.43909454345703
1586946416.091888,536,110.78856658935547
1586946417.962878,537,114.62395477294922
1586946420.054407,538,108.60464477539062
1586946421.95111,539,113.27403259277344
1586946423.801844,540,111.25482177734375
1586946425.67792,541,111.74296569824219
1586946427.506627,542,115.18270874023438
1586946431.255129,544,112.75431823730469
1586946436.811004,547,109.29265594482422
1586946438.709867,548,114.77242279052734
1586946440.569847,549,115.97447967529297
1586946444.321185,551,113.05303192138672
1586946451.795436,555,110.9593734741211
1586946455.568123,557,110.41407775878906
1586946459.318706,559,117.99193572998047
1586946466.707339,563,108.07798767089844
1586946468.5444,564,105.61769104003906
1586946470.394596,565,103.48800659179688
1586946475.61684,567,107.93934631347656
1586946479.736947,569,108.7073745727539
1586946483.830654,571,104.34556579589844
1586946487.811856,573,115.22333526611328
1586946489.648804,574,107.85445404052734
1586946495.350957,577,112.60964965820312
1586946499.077342,579,111.5941390991211
1586946500.911527,580,107.92475891113281
1586946502.802236,581,108.93978881835938
1586946504.683298,582,105.6599349975586
1586946506.518944,583,109.72020721435547
1586946508.382797,584,104.40496063232422
1586946512.173423,586,109.12554168701172
1586946514.046577,587,118.04719543457031
1586946523.26233,592,102.62920379638672
1586946525.078602,593,127.96520233154297
1586946528.79996,595,111.16358947753906
1586946532.127354,596,114.09693145751953
1586946534.333791,597,110.29217529296875
1586946540.806521,600,117.16212463378906
1586946544.832373,602,115.30934143066406
1586946548.582312,604,115.57853698730469
1586946554.032756,606,109.71920776367188
1586946558.421231,608,105.91879272460938
1586946562.573272,610,109.8733139038086
1586946564.585446,611,113.56818389892578
1586946566.567588,612,104.93638610839844
1586946572.610894,615,108.91940307617188
1586946580.031553,619,104.75935363769531
1586946581.944478,620,114.88510131835938
1586946585.65161,622,110.52273559570312
1586946587.499111,623,111.59048461914062
1586946591.190868,625,117.71611022949219
1586946598.638482,629,110.0267562866211
1586946608.013597,634,112.520263671875
1586946622.42366,641,115.90057373046875
1586946624.421824,642,115.59950256347656
1586946628.439477,644,109.00386810302734
1586946630.391062,645,111.83839416503906
1586946632.532312,646,107.69722747802734
1586946634.440652,647,109.44052124023438
1586946636.298965,648,106.72959899902344
1586946638.254922,649,109.74418640136719
1586946641.964614,651,108.29205322265625
1586946644.041573,652,114.6148452758789
1586946651.630035,656,114.20330047607422
1586946653.558255,657,105.61148071289062
1586946657.26738,659,107.88794708251953
1586946661.026033,661,104.90653991699219
1586946666.674794,664,107.81958770751953
1586946670.374266,666,107.46809387207031
1586946672.253077,667,111.12018585205078
1586946674.069547,668,105.85591888427734
1586946679.845803,671,109.68888092041016
1586946681.694895,672,109.45369720458984
1586946683.517231,673,110.20397186279297
1586946685.382383,674,108.07850646972656
1586946687.23835,675,108.17777252197266
1586946691.00801,677,109.03258514404297
1586946692.890368,678,110.90611267089844
1586946696.172999,679,107.76801300048828
1586946700.202794,681,104.45667266845703
1586946702.262578,682,105.82740020751953
1586946704.529003,683,106.17546844482422
1586946706.573277,684,105.19378662109375
1586946708.485448,685,104.80599975585938
1586946710.448519,686,107.56816101074219
1586946714.276345,688,111.6298599243164
1586946716.164194,689,109.2900161743164
1586946721.868856,692,115.06513977050781
